epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.62063,1.63306,2.64957,1.53589,0.00574,0.69394,0.11415,0.05819,1.79038,3.38924,1.71592,0.00058,0.00058,0.00058
2,4.17171,1.55523,1.9788,1.44701,0.17434,0.07576,0.04666,0.01689,2.02757,3.223,2.14734,0.00116832,0.00116832,0.00116832
3,5.64044,1.58799,1.93063,1.45391,0.48163,0.24242,0.26331,0.1263,1.85814,2.69246,2.00311,0.00174476,0.00174476,0.00174476
4,7.09621,1.56371,1.84247,1.4423,0.09899,0.23939,0.04896,0.01907,2.03367,5.05643,2.13389,0.0019406,0.0019406,0.0019406
5,8.52009,1.54471,1.75055,1.49367,0.40109,0.38788,0.35958,0.1743,1.83707,2.19664,1.80984,0.0019208,0.0019208,0.0019208
6,9.96471,1.52527,1.61799,1.42979,0.5096,0.46364,0.44351,0.20953,1.90763,1.8178,1.71417,0.001901,0.001901,0.001901
7,11.3911,1.51599,1.52433,1.41721,0.60943,0.44242,0.47437,0.23224,1.72297,1.86513,1.68329,0.0018812,0.0018812,0.0018812
8,12.8258,1.49409,1.61122,1.40394,0.55057,0.40606,0.42303,0.20212,1.93254,2.11874,1.84444,0.0018614,0.0018614,0.0018614
9,14.2409,1.49581,1.51045,1.41446,0.56831,0.45479,0.49182,0.26635,1.65091,1.85485,1.57525,0.0018416,0.0018416,0.0018416
10,15.6643,1.48926,1.42332,1.38518,0.59111,0.5303,0.57011,0.29718,1.6861,1.75919,1.64033,0.0018218,0.0018218,0.0018218
11,17.1144,1.41097,1.37357,1.34977,0.72747,0.51212,0.62392,0.32181,1.64766,1.53472,1.55394,0.001802,0.001802,0.001802
12,18.5487,1.46963,1.41718,1.37057,0.65289,0.54545,0.59989,0.32027,1.55093,1.7123,1.52502,0.0017822,0.0017822,0.0017822
13,19.9613,1.423,1.32353,1.35254,0.69954,0.49091,0.59889,0.3123,1.65691,1.49439,1.5601,0.0017624,0.0017624,0.0017624
14,21.3885,1.42396,1.36707,1.37149,0.63483,0.52727,0.57902,0.32056,1.55453,1.54772,1.51907,0.0017426,0.0017426,0.0017426
15,22.8794,1.37277,1.33465,1.31755,0.67358,0.4815,0.53752,0.29381,1.6133,1.65306,1.48889,0.0017228,0.0017228,0.0017228
16,24.4515,1.40196,1.29904,1.32077,0.65429,0.53636,0.59803,0.33118,1.59548,1.59849,1.49735,0.001703,0.001703,0.001703
17,26.0438,1.39356,1.39313,1.31161,0.72127,0.54242,0.62401,0.34421,1.52675,1.43299,1.458,0.0016832,0.0016832,0.0016832
18,27.6585,1.32463,1.21757,1.28969,0.6932,0.62306,0.66655,0.37885,1.51547,1.36671,1.46006,0.0016634,0.0016634,0.0016634
19,29.2573,1.3215,1.17529,1.2918,0.7285,0.58544,0.66341,0.37757,1.53106,1.28594,1.46233,0.0016436,0.0016436,0.0016436
20,30.8644,1.3333,1.20065,1.28949,0.69388,0.57576,0.63284,0.36011,1.47132,1.37166,1.42925,0.0016238,0.0016238,0.0016238
21,32.2849,1.34536,1.17117,1.28934,0.74965,0.58788,0.64556,0.38262,1.45488,1.44813,1.45342,0.001604,0.001604,0.001604
22,33.7354,1.30993,1.1531,1.27517,0.69018,0.65455,0.69336,0.40581,1.45428,1.47427,1.41701,0.0015842,0.0015842,0.0015842
23,35.208,1.37156,1.16984,1.33058,0.69024,0.57395,0.65686,0.37678,1.51767,1.36169,1.49301,0.0015644,0.0015644,0.0015644
24,36.6457,1.26848,1.0781,1.26463,0.75325,0.59091,0.67807,0.38538,1.52865,1.30392,1.48095,0.0015446,0.0015446,0.0015446
25,38.0689,1.32242,1.13248,1.29845,0.73581,0.63298,0.71797,0.42174,1.42482,1.25469,1.38321,0.0015248,0.0015248,0.0015248
26,39.5074,1.28274,1.09052,1.25014,0.75878,0.61004,0.69573,0.40564,1.49549,1.26258,1.41452,0.001505,0.001505,0.001505
27,40.9062,1.25298,1.03378,1.21992,0.76763,0.62424,0.72869,0.4409,1.40571,1.21193,1.35529,0.0014852,0.0014852,0.0014852
28,42.3174,1.24856,1.02975,1.23844,0.71099,0.66667,0.71833,0.43165,1.42086,1.21959,1.40963,0.0014654,0.0014654,0.0014654
29,43.7165,1.22089,1.00329,1.21205,0.76253,0.60909,0.6932,0.40585,1.48927,1.23261,1.4502,0.0014456,0.0014456,0.0014456
30,45.2179,1.22313,1.01602,1.23008,0.75562,0.61818,0.70235,0.42195,1.37955,1.31744,1.34499,0.0014258,0.0014258,0.0014258
31,46.6224,1.22885,1.01104,1.21012,0.80737,0.62234,0.72469,0.42376,1.43693,1.19458,1.40594,0.001406,0.001406,0.001406
32,48.1305,1.16217,1.17504,1.16337,0.7845,0.60909,0.69832,0.42537,1.43014,1.27399,1.41394,0.0013862,0.0013862,0.0013862
33,49.5425,1.20724,0.9827,1.19771,0.72571,0.67576,0.71112,0.42926,1.43102,1.19862,1.40497,0.0013664,0.0013664,0.0013664
34,50.946,1.17636,0.98899,1.2018,0.74541,0.66061,0.72924,0.42989,1.4116,1.16193,1.40326,0.0013466,0.0013466,0.0013466
35,52.3547,1.19903,0.96732,1.20494,0.76944,0.65152,0.71453,0.41041,1.48937,1.19496,1.46264,0.0013268,0.0013268,0.0013268
36,53.7689,1.1984,0.9387,1.18744,0.75432,0.65455,0.71566,0.43467,1.42216,1.18731,1.41077,0.001307,0.001307,0.001307
37,55.1535,1.20406,0.95518,1.23085,0.78245,0.61818,0.7291,0.43294,1.40616,1.18106,1.39208,0.0012872,0.0012872,0.0012872
38,56.554,1.18309,0.91875,1.18487,0.77151,0.6303,0.73862,0.44287,1.41476,1.17259,1.3766,0.0012674,0.0012674,0.0012674
39,57.9447,1.15406,1.05107,1.15777,0.74346,0.62121,0.71628,0.42291,1.43833,1.20684,1.44384,0.0012476,0.0012476,0.0012476
40,59.3554,1.20162,0.92573,1.23683,0.7383,0.67537,0.73762,0.44194,1.39897,1.20102,1.40517,0.0012278,0.0012278,0.0012278
41,60.7563,1.15481,0.93567,1.21147,0.726,0.66667,0.70863,0.42219,1.45043,1.18647,1.46605,0.001208,0.001208,0.001208
42,62.188,1.14878,0.8943,1.17491,0.75423,0.67885,0.74558,0.44516,1.43782,1.12008,1.37158,0.0011882,0.0011882,0.0011882
